Date,Open,High,Low,Close,Adj Close,Volume
2015-11-23,838.200012,852.000000,835.000000,850.299988,823.069824,1475762
2015-11-24,850.000000,861.750000,846.200012,856.599976,829.168152,771337
2015-11-26,861.000000,865.950012,851.799988,861.849976,834.250000,678200
2015-11-27,862.599976,864.000000,852.000000,859.099976,831.588013,444323
2015-11-30,859.000000,859.000000,834.000000,838.500000,811.647949,1679737
2015-12-01,843.000000,848.000000,831.650024,844.599976,817.552490,720255
2015-12-02,847.950012,867.200012,844.799988,848.549988,821.375916,980956
2015-12-03,849.000000,849.200012,839.000000,842.400024,815.422974,540473
2015-12-04,841.500000,841.500000,829.450012,834.700012,807.969482,779530
2015-12-07,842.000000,873.849976,841.000000,871.450012,843.542664,1602605
2015-12-08,874.049988,877.400024,857.200012,860.750000,833.185303,1058074
2015-12-09,866.450012,866.450012,836.950012,840.000000,813.099731,751034
2015-12-10,844.500000,861.200012,842.200012,859.200012,831.684875,636140
2015-12-11,860.950012,863.549988,848.750000,858.400024,830.910645,780634
2015-12-14,860.000000,878.400024,853.000000,875.450012,847.414490,889790
2015-12-15,878.500000,880.000000,866.450012,878.549988,850.415222,861784
2015-12-16,880.000000,883.950012,859.099976,866.500000,838.751282,900351
2015-12-17,871.500000,878.500000,864.000000,876.099976,848.043762,716229
2015-12-18,874.500000,885.900024,868.000000,879.450012,851.286438,1098597
2015-12-21,879.000000,884.000000,866.700012,873.500000,845.527039,896692
2015-12-22,874.000000,887.000000,873.549988,880.950012,852.738403,663204
2015-12-23,882.950012,883.950012,874.750000,878.950012,850.802612,350212
2015-12-24,880.500000,883.900024,873.549988,881.799988,853.561157,403140
2015-12-28,882.000000,886.250000,876.750000,881.049988,852.835205,633270
2015-12-29,883.700012,885.000000,878.599976,880.099976,851.915588,602111
2015-12-30,881.150024,883.000000,875.000000,878.150024,850.028137,450359
2015-12-31,879.950012,886.950012,875.000000,883.549988,855.255188,526825
2016-01-01,882.000000,885.599976,876.900024,878.750000,850.608887,294006
2016-01-04,876.200012,892.450012,871.700012,880.799988,852.593201,709103
2016-01-05,881.299988,905.000000,881.299988,900.650024,871.807617,1372748
2016-01-06,904.500000,911.900024,884.000000,886.400024,858.013977,1716479
2016-01-07,883.000000,891.549988,869.000000,872.349976,844.413879,990333
2016-01-08,879.000000,881.950012,866.599976,874.599976,846.591736,886022
2016-01-11,870.000000,884.000000,861.599976,873.849976,845.865845,801102
2016-01-12,882.000000,885.500000,870.200012,872.900024,844.946289,998419
2016-01-13,879.950012,883.500000,850.049988,868.549988,840.735413,901426
2016-01-14,863.500000,897.000000,851.099976,889.400024,860.917847,2296682
2016-01-15,893.000000,894.950012,874.299988,879.250000,851.092896,1301590
2016-01-18,890.000000,893.000000,841.650024,850.299988,823.069824,2335330
2016-01-19,867.900024,868.400024,826.000000,845.549988,818.472229,2443365
2016-01-20,834.000000,856.000000,830.000000,840.349976,813.438477,2247202
2016-01-21,850.000000,856.000000,841.000000,844.450012,817.407227,1138753
2016-01-22,853.000000,873.400024,849.200012,869.950012,842.090576,1774017
2016-01-25,870.000000,882.000000,868.150024,878.599976,850.463623,1794107
2016-01-27,880.000000,881.799988,855.150024,858.549988,831.055786,969509
2016-01-28,854.000000,865.000000,852.150024,858.950012,831.442993,1392051
2016-01-29,864.000000,875.000000,859.000000,869.900024,842.042358,1320575
2016-02-01,874.200012,890.000000,871.299988,887.400024,858.981934,786217
2016-02-02,889.900024,894.750000,878.000000,882.500000,854.238831,920875
2016-02-03,876.200012,883.950012,859.049988,863.700012,836.040833,540771
2016-02-04,865.000000,895.950012,865.000000,889.349976,860.869324,1658831
2016-02-05,889.000000,903.450012,886.400024,899.250000,870.452332,1739178
2016-02-08,903.000000,907.500000,886.000000,888.599976,860.143372,783143
2016-02-09,884.900024,894.299988,878.500000,884.200012,855.884338,636386
2016-02-10,888.500000,889.000000,866.500000,876.549988,848.479309,707101
2016-02-11,874.750000,874.750000,852.000000,855.700012,828.297119,1004015
2016-02-12,860.000000,873.250000,846.500000,854.900024,827.522583,1089266
2016-02-15,866.000000,872.200012,853.000000,858.700012,831.200989,703958
2016-02-16,855.049988,860.150024,836.099976,840.299988,813.390198,985215
2016-02-17,844.000000,858.950012,827.099976,856.000000,828.587463,1171983
2016-02-18,862.000000,863.799988,830.599976,835.250000,808.501831,997874
2016-02-19,834.950012,856.900024,829.000000,854.700012,827.329102,799360
2016-02-22,856.000000,873.200012,854.000000,870.849976,842.961731,609601
2016-02-23,871.000000,879.900024,866.150024,877.099976,849.011780,1438921
2016-02-24,879.000000,885.750000,875.000000,881.799988,853.561157,1289097
2016-02-25,880.500000,884.900024,858.700012,861.700012,834.104858,1326303
2016-02-26,868.000000,874.000000,854.200012,862.549988,834.927612,536753
2016-02-29,864.099976,868.950012,841.599976,846.099976,819.004456,890886
2016-03-01,852.599976,874.650024,850.000000,871.950012,844.026672,1161059
2016-03-02,876.000000,880.950012,866.500000,871.849976,843.929810,808137
2016-03-03,874.400024,896.500000,871.750000,880.250000,852.060913,1061326
2016-03-04,886.599976,890.099976,858.400024,865.799988,838.073486,1039977
2016-03-08,867.900024,881.799988,858.049988,875.700012,847.656494,1174011
2016-03-09,876.000000,888.799988,869.849976,876.200012,848.140503,1401934
2016-03-10,870.000000,896.000000,870.000000,894.750000,866.096436,810951
2016-03-11,900.000000,903.700012,891.549988,898.349976,869.581116,1043602
2016-03-14,898.000000,903.200012,888.599976,899.349976,870.549194,788258
2016-03-15,903.000000,906.500000,876.150024,884.599976,856.271423,954046
2016-03-16,880.299988,882.000000,862.099976,864.900024,837.202576,1456263
2016-03-17,870.000000,876.000000,865.099976,872.549988,844.607361,965277
2016-03-18,871.000000,877.900024,859.950012,875.349976,847.317749,1072444
2016-03-21,873.250000,875.000000,852.400024,859.650024,832.120544,1484160
2016-03-22,860.000000,860.000000,846.049988,853.349976,826.022217,1746522
2016-03-23,853.349976,856.900024,846.250000,850.000000,822.779602,917099
2016-03-28,850.000000,857.450012,842.700012,845.400024,818.326904,1722071
2016-03-29,847.400024,860.000000,845.000000,856.099976,828.684143,1101097
2016-03-30,864.000000,885.000000,861.849976,881.849976,853.609436,1470782
2016-03-31,880.500000,884.250000,865.099976,868.400024,840.590332,1682214
2016-04-01,871.000000,883.950012,865.000000,870.000000,842.138977,853331
2016-04-04,874.000000,888.500000,865.250000,886.150024,857.771851,662760
2016-04-05,885.400024,885.400024,862.000000,869.849976,841.993835,762479
2016-04-06,869.700012,875.000000,860.650024,863.299988,835.653564,451307
2016-04-07,864.000000,869.000000,855.049988,858.250000,830.765381,449770
2016-04-08,860.000000,861.450012,849.599976,851.549988,824.280029,448087
2016-04-11,850.000000,861.900024,842.750000,860.000000,832.459412,651373
2016-04-12,861.799988,870.000000,859.500000,866.900024,839.138489,433486
2016-04-13,870.500000,876.000000,866.000000,874.349976,846.349731,692424
2016-04-18,884.250000,886.549988,875.000000,885.200012,856.852356,685762
2016-04-20,885.000000,887.750000,875.250000,885.799988,857.433105,778272
2016-04-21,890.000000,895.000000,885.099976,889.150024,860.675903,702226
2016-04-22,885.700012,893.700012,869.400024,871.549988,843.639465,692414
2016-04-25,870.400024,870.400024,856.000000,861.750000,834.153259,587700
2016-04-26,864.200012,880.000000,859.049988,876.900024,848.818115,694778
2016-04-27,875.700012,891.000000,871.000000,889.849976,861.353333,553126
2016-04-28,889.849976,894.500000,870.000000,873.099976,845.139709,1013142
2016-04-29,873.000000,876.000000,861.650024,866.250000,838.509094,955985
2016-05-02,864.000000,867.500000,860.650024,864.799988,837.105591,199724
2016-05-03,869.500000,886.900024,865.400024,872.000000,844.075073,1073196
2016-05-04,872.000000,879.000000,864.000000,873.599976,845.623718,469904
2016-05-05,874.099976,875.450012,862.450012,867.049988,839.283569,402567
2016-05-06,863.950012,890.000000,861.500000,889.049988,860.578918,1249025
2016-05-09,894.950012,913.900024,893.650024,906.599976,877.567017,1355429
2016-05-10,904.950012,908.250000,893.450012,898.349976,869.581116,1034271
2016-05-11,892.000000,919.000000,887.500000,907.849976,878.776917,2228431
2016-05-12,920.000000,933.900024,917.200012,928.799988,899.056091,2382775
2016-05-13,928.750000,948.000000,927.599976,943.650024,913.430481,2285317
2016-05-16,948.950012,957.799988,945.000000,952.650024,922.142334,1913343
2016-05-17,953.500000,972.000000,947.750000,969.650024,938.598022,1770437
2016-05-18,969.000000,971.000000,952.450012,963.250000,932.402832,1273835
2016-05-19,968.849976,968.849976,952.049988,956.799988,926.159424,1251713
2016-05-20,956.000000,963.000000,950.750000,956.000000,925.385010,972841
2016-05-23,959.900024,960.000000,943.650024,946.599976,916.286011,726047
2016-05-24,952.400024,962.400024,941.700012,956.250000,925.627075,490332
2016-05-25,963.150024,985.000000,962.799988,982.250000,950.794373,815313
2016-05-26,988.549988,999.500000,973.450012,991.849976,960.086914,1410903
2016-05-27,991.900024,1001.799988,986.450012,998.250000,966.281921,1105534
2016-05-30,994.000000,1004.250000,978.450012,984.900024,953.359558,1487177
2016-05-31,988.000000,995.500000,980.700012,984.849976,953.311035,1151373
2016-06-01,989.049988,1025.000000,989.049988,1021.700012,988.981018,2068760
2016-06-02,1007.000000,1029.000000,996.549988,1024.050049,991.255920,2420319
2016-06-03,1023.500000,1032.099976,1013.500000,1025.300049,992.465820,2045789
2016-06-06,1017.099976,1032.349976,1016.599976,1026.300049,993.433777,1574228
2016-06-07,1025.349976,1037.449951,1024.599976,1032.750000,999.677185,755934
2016-06-08,1029.000000,1029.000000,1011.250000,1018.049988,985.447876,933533
2016-06-09,1018.000000,1019.000000,995.700012,998.799988,966.814392,1024252
2016-06-10,994.950012,999.000000,989.599976,992.049988,960.280518,1313970
2016-06-13,987.000000,996.500000,985.099976,994.900024,963.039307,808571
2016-06-14,995.000000,999.000000,978.599976,986.500000,954.908264,699283
2016-06-15,986.000000,1002.000000,986.000000,998.400024,966.427185,731016
2016-06-16,993.750000,1009.000000,986.200012,1006.549988,979.516052,740810
2016-06-17,1010.000000,1014.849976,994.000000,999.599976,972.752563,365441
2016-06-20,994.950012,997.000000,986.250000,991.500000,964.870178,627622
2016-06-21,990.000000,991.000000,977.200012,982.049988,955.674011,712870
2016-06-22,980.000000,989.450012,978.500000,985.450012,958.982788,507154
2016-06-23,986.099976,990.000000,980.299988,984.099976,957.668884,678141
2016-06-24,974.099976,993.000000,963.599976,989.549988,962.972412,777600
2016-06-27,970.250000,992.950012,970.250000,974.299988,948.132080,662651
2016-06-28,981.000000,985.000000,975.349976,980.200012,953.873718,822749
2016-06-29,978.250000,999.299988,978.250000,994.200012,967.497620,711457
2016-06-30,1004.849976,1009.000000,996.049988,1003.299988,976.353149,1039352
2016-07-01,1002.799988,1011.099976,995.450012,1002.500000,975.574707,1314022
2016-07-04,1008.000000,1017.049988,998.200012,1000.400024,973.531128,884699
2016-07-05,1003.000000,1004.849976,983.349976,985.099976,958.641968,523870
2016-07-07,989.349976,997.000000,985.000000,987.700012,961.172241,757053
2016-07-08,992.900024,1013.900024,988.150024,1010.700012,983.554565,1200518
2016-07-11,1020.000000,1033.000000,1017.849976,1026.800049,999.222229,1082293
2016-07-12,1028.800049,1037.900024,1016.799988,1020.450012,993.042664,1259777
2016-07-13,1029.000000,1029.000000,1006.450012,1009.500000,982.386719,1319911
2016-07-14,1010.200012,1025.500000,1009.000000,1017.599976,990.269104,754274
2016-07-15,1018.200012,1031.500000,1018.200012,1025.900024,998.346313,671924
2016-07-18,1027.099976,1044.900024,1025.250000,1028.500000,1000.876343,721547
2016-07-19,1031.000000,1037.500000,1021.200012,1030.699951,1003.017334,541334
2016-07-20,1029.250000,1036.400024,1020.000000,1028.550049,1000.925049,529012
2016-07-21,1029.800049,1048.000000,1026.550049,1042.699951,1014.694946,706661
2016-07-22,1047.849976,1054.000000,1042.050049,1047.050049,1018.928284,502766
2016-07-25,1049.300049,1074.400024,1047.150024,1070.650024,1041.894409,734354
2016-07-26,1072.099976,1074.949951,1055.000000,1060.750000,1032.260376,562982
2016-07-27,1069.900024,1073.800049,1052.199951,1061.800049,1033.281860,765267
2016-07-28,1074.000000,1153.800049,1068.000000,1128.000000,1097.704224,5831636
2016-07-29,1127.500000,1137.699951,1102.250000,1114.150024,1084.226074,1152956
2016-08-01,1119.599976,1134.000000,1115.050049,1120.900024,1090.794800,864041
2016-08-02,1129.699951,1142.500000,1118.650024,1123.349976,1093.178955,832931
2016-08-03,1132.449951,1147.150024,1124.050049,1143.400024,1112.690552,1130691
2016-08-04,1152.050049,1154.599976,1116.699951,1127.300049,1097.023193,1075876
2016-08-05,1131.000000,1145.300049,1128.750000,1143.349976,1112.641724,543090
2016-08-08,1153.000000,1153.000000,1136.000000,1148.349976,1117.507568,407801
2016-08-09,1153.599976,1154.949951,1134.000000,1146.500000,1115.707275,541100
2016-08-10,1142.099976,1148.449951,1128.099976,1129.949951,1099.601807,788849
2016-08-11,1130.000000,1147.500000,1118.599976,1145.099976,1114.344849,651399
2016-08-12,1143.000000,1161.250000,1125.400024,1137.500000,1106.948730,795382
2016-08-16,1135.500000,1147.800049,1126.900024,1129.650024,1099.309814,921462
2016-08-17,1115.000000,1127.699951,1108.150024,1113.550049,1083.642090,742834
2016-08-18,1119.750000,1119.750000,1102.550049,1107.349976,1077.608643,1263890
2016-08-19,1101.349976,1126.900024,1101.349976,1113.500000,1083.593506,864966
2016-08-22,1121.000000,1121.000000,1105.000000,1113.900024,1083.982788,827995
2016-08-23,1112.699951,1129.650024,1108.150024,1126.250000,1096.001221,684493
2016-08-24,1130.000000,1130.199951,1115.599976,1118.849976,1088.799683,417969
2016-08-25,1120.099976,1126.500000,1102.800049,1105.900024,1076.197510,554850
2016-08-26,1106.250000,1127.550049,1091.050049,1123.300049,1093.130371,869672
2016-08-29,1123.300049,1124.650024,1104.150024,1111.849976,1081.987793,452947
2016-08-30,1115.000000,1148.000000,1110.000000,1146.199951,1115.415161,674826
2016-08-31,1157.000000,1173.900024,1149.000000,1157.900024,1126.801147,1668417
2016-09-01,1159.849976,1164.050049,1142.000000,1156.949951,1125.876343,621894
2016-09-02,1158.949951,1172.000000,1151.300049,1167.550049,1136.191772,710106
2016-09-06,1175.000000,1213.900024,1170.599976,1204.150024,1171.808716,1131704
2016-09-07,1208.000000,1209.000000,1170.699951,1177.199951,1145.582642,1092266
2016-09-08,1179.000000,1190.000000,1171.000000,1182.599976,1150.837769,888245
2016-09-09,1181.900024,1181.900024,1168.000000,1171.750000,1140.278931,575102
2016-09-12,1156.349976,1163.000000,1137.000000,1154.599976,1123.589722,465079
